group,code,name,market,sector,periodReturn,bestStrategy,trades,winRate,averageReturn,maxDrawdown,latestSignal,priceScore,judgement,comment,nextCheck,caution
過去1年2倍以上,285A,キオクシアホールディングス,プライム（内国株式）,電気機器,4314.8,上昇中押し目,2,100,14,-4.7,上昇中押し目,71.3,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,6613,ＱＤレーザ,グロース（内国株式）,電気機器,1031.5,上昇中押し目,1,100,12.5,0,上昇中押し目,53,中立,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,検証回数が少ない
過去1年2倍以上,6085,アーキテクツ・スタジオ・ジャパン,グロース（内国株式）,サービス業,1010.3,高値更新,12,75,11.8,-17.4,待ち,45,中立,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します,出来高、材料、過熱感,価格だけでは判断材料が足りない
過去1年2倍以上,6327,北川精機,スタンダード（内国株式）,機械,881.3,上昇中押し目,1,100,12.3,-3.1,待ち,40.9,中立,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,検証回数が少ない
過去1年2倍以上,5706,三井金属,プライム（内国株式）,非鉄金属,778,上昇中押し目,3,100,12.5,-3.5,待ち,64.8,良さそう,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,価格だけでは判断材料が足りない
過去1年2倍以上,4062,イビデン,プライム（内国株式）,電気機器,732.6,高値更新,10,60,9.2,-8.1,上昇中押し目,53.6,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,3449,テクノフレックス,スタンダード（内国株式）,金属製品,609.3,上昇中押し目,3,100,13,-1.9,上昇中押し目,75.7,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
過去1年2倍以上,6976,太陽誘電,プライム（内国株式）,電気機器,594.8,高値更新,10,60,5.8,-18.7,上昇中押し目,34.3,見送り寄り,値動きは大きいですが、最大下落が深い。買い候補ではなく監視・除外判断を優先します,決算成長、出来高、直近高値,最大下落が深い
過去1年2倍以上,9256,サクシード,グロース（内国株式）,サービス業,569.6,上昇中押し目,1,100,24.5,0,高値圏,65,中立,すでに大きく上がっています。勢いはありますが高値圏なので、押し目か出来高継続を待つ候補です,押し目、出来高継続、決算材料,検証回数が少ない
過去1年2倍以上,6227,ＡＩメカテック,スタンダード（内国株式）,機械,563.4,高値更新,9,66.7,7.7,-17.8,待ち,33.5,中立,高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します,出来高、材料、過熱感,価格だけでは判断材料が足りない
過去1年2倍以上,3103,ユニチカ,スタンダード（内国株式）,繊維製品,545,上昇中押し目,2,50,7.1,-6.4,待ち,29.9,中立,価格バックテストは良好です。財務、材料、流動性を確認してから候補化します,財務、材料、流動性,価格だけでは判断材料が足りない
過去1年2倍以上,5985,サンコール,スタンダード（内国株式）,金属製品,508.1,上昇中押し目,7,42.9,2.7,-7.7,上昇中押し目,35.1,見送り寄り,値動きは大きいですが、勝率が低い。買い候補ではなく監視・除外判断を優先します,決算成長、出来高、直近高値,勝率が低い
過去1年2倍以上,2962,テクニスコ,スタンダード（内国株式）,金属製品,501.3,上昇中押し目,6,66.7,5.1,-7.8,高値圏,36.2,良さそう,すでに大きく上がっています。勢いはありますが高値圏なので、押し目か出来高継続を待つ候補です,押し目、出来高継続、決算材料,高値掴みリスクが高い
過去1年2倍以上,6834,精工技研,スタンダード（内国株式）,電気機器,495.8,上昇中押し目,8,37.5,-1.4,-13.1,上昇中押し目,18.6,見送り寄り,値動きは大きいですが、勝率が低い。買い候補ではなく監視・除外判断を優先します,決算成長、出来高、直近高値,勝率が低い
過去1年2倍以上,5016,ＪＸ金属,プライム（内国株式）,非鉄金属,483,上昇中押し目,3,100,16.1,-4.6,上昇中押し目,78.7,良さそう,上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します,決算成長、出来高、直近高値,価格だけでは判断材料が足りない
