code,name,sector,price,shares,cash,interestDebt,netAssets,bps,eps,pbrLow,pbrHigh,note,history
4378,ＣＩＮＣ,情報・通信業,538,10000000,1583,633,6330,633,33.6,0.64,1.53,推定下書き。優先して財務確認。上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,636|641|564|570|551|550|568|538
4392,ＦＩＧ,情報・通信業,1115,10000000,3280,1312,13120,1312,69.7,0.64,1.53,推定下書き。優先して財務確認。上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,1270|1280|1143|1197|1125|1203|1160|1115
6993,大黒屋ホールディングス,小売業,90,10000000,225,90,900,90,5,0.75,1.8,推定下書き。監視しながら財務確認。高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,99|95|94|93|91|89|90|90
7256,河西工業,輸送用機器,407,10000000,1198,479,4790,479,25.4,0.64,1.53,推定下書き。優先して財務確認。上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,445|477|487|490|467|453|427|407
3934,ベネフィットジャパン,情報・通信業,2195,10000000,6455,2582,25820,2582,137.2,0.64,1.53,推定下書き。優先して財務確認。上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,2211|2200|2232|2252|2269|2222|2208|2195
7878,光・彩,その他製品,1459,10000000,3648,1459,14590,1459,81.1,0.75,1.8,推定下書き。監視しながら財務確認。価格バックテストは良好です。財務、材料、流動性を確認してから候補化します。財務確認: BPS/EPS/現金/有利子負債/発行株数,1460|1342|1259|1253|1238|1407|1450|1459
6696,トラース・オン・プロダクト,電気機器,242,10000000,605,242,2420,242,13.4,0.75,1.8,推定下書き。監視しながら財務確認。価格バックテストは良好です。財務、材料、流動性を確認してから候補化します。財務確認: BPS/EPS/現金/有利子負債/発行株数,258|256|247|242|246|244|246|242
4410,ハリマ化成グループ,化学,1047,10000000,3080,1232,12320,1232,65.4,0.64,1.53,推定下書き。優先して財務確認。上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,1110|1098|1101|1085|1072|1047|1077|1047
7694,いつも,小売業,413,10000000,1033,413,4130,413,22.9,0.75,1.8,推定下書き。監視しながら財務確認。価格バックテストは良好です。財務、材料、流動性を確認してから候補化します。財務確認: BPS/EPS/現金/有利子負債/発行株数,466|462|455|437|420|413|411|413
9941,太洋物産,卸売業,1270,10000000,3735,1494,14940,1494,79.4,0.64,1.53,推定下書き。優先して財務確認。上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,1224|1340|1487|1262|1195|1190|1246|1270
7069,サイバー・バズ,サービス業,639.5,10000000,1880,752,7520,752,40,0.64,1.53,推定下書き。優先して財務確認。上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,1184|591|589|639|627|635|640|640
5010,日本精蝋,石油・石炭製品,228,10000000,570,228,2280,228,12.7,0.75,1.8,推定下書き。監視しながら財務確認。高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,225|222|226|238|231|236|233|228
5989,エイチワン,金属製品,1464,10000000,3660,1464,14640,1464,81.3,0.75,1.8,推定下書き。監視しながら財務確認。価格バックテストは良好です。財務、材料、流動性を確認してから候補化します。財務確認: BPS/EPS/現金/有利子負債/発行株数,1533|1500|1509|1502|1469|1448|1467|1464
5016,ＪＸ金属,非鉄金属,4553,10000000,13390,5356,53560,5356,284.6,0.64,1.53,推定下書き。優先して財務確認。上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,4366|4370|4747|5335|4733|4633|4887|4553
6522,アスタリスク,電気機器,1020,10000000,3000,1200,12000,1200,63.8,0.64,1.53,推定下書き。優先して財務確認。上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,731|881|1009|1161|1076|1136|1017|1020
7477,ムラキ,卸売業,1871,10000000,5503,2201,22010,2201,116.9,0.64,1.53,推定下書き。優先して財務確認。上昇トレンド中の押し目候補です。次は決算成長、出来高、直近高値までの距離を確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,2131|1999|2001|2018|1950|1871|1911|1871
3664,ＷＩＺＥ,情報・通信業,21,10000000,53,21,210,21,1.2,0.75,1.8,推定下書き。監視しながら財務確認。価格バックテストは良好です。財務、材料、流動性を確認してから候補化します。財務確認: BPS/EPS/現金/有利子負債/発行株数,24|22|22|22|22|23|22|21
5587,インバウンドプラットフォーム,情報・通信業,745,10000000,1863,745,7450,745,41.4,0.75,1.8,推定下書き。監視しながら財務確認。価格バックテストは良好です。財務、材料、流動性を確認してから候補化します。財務確認: BPS/EPS/現金/有利子負債/発行株数,747|745|744|752|732|733|750|745
9322,川西倉庫,倉庫・運輸関連業,2278,10000000,5695,2278,22780,2278,126.6,0.75,1.8,推定下書き。監視しながら財務確認。安値圏から反転し始めた候補です。赤字・下方修正・信用需給が重くないか確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,2257|2269|2257|2265|2258|2277|2294|2278
9888,ＵＥＸ,卸売業,970,10000000,2425,970,9700,970,53.9,0.75,1.8,推定下書き。監視しながら財務確認。価格バックテストは良好です。財務、材料、流動性を確認してから候補化します。財務確認: BPS/EPS/現金/有利子負債/発行株数,961|1008|995|999|986|999|988|970
6310,井関農機,機械,1770,10000000,4425,1770,17700,1770,98.3,0.75,1.8,推定下書き。監視しながら財務確認。価格バックテストは良好です。財務、材料、流動性を確認してから候補化します。財務確認: BPS/EPS/現金/有利子負債/発行株数,1833|1824|1844|1839|1787|1772|1789|1770
281A,インフォメティス,情報・通信業,676,10000000,1690,676,6760,676,37.6,0.75,1.8,推定下書き。監視しながら財務確認。高値更新型で強い値動きです。飛びつきではなく、出来高を伴う継続上昇かを確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,647|623|574|601|637|737|753|676
4651,サニックスホールディングス,サービス業,227,10000000,568,227,2270,227,12.6,0.75,1.8,推定下書き。監視しながら財務確認。価格バックテストは良好です。財務、材料、流動性を確認してから候補化します。財務確認: BPS/EPS/現金/有利子負債/発行株数,226|224|222|225|221|221|226|227
4570,免疫生物研究所,医薬品,969,10000000,2423,969,9690,969,53.8,0.75,1.8,推定下書き。監視しながら財務確認。安値圏から反転し始めた候補です。赤字・下方修正・信用需給が重くないか確認します。財務確認: BPS/EPS/現金/有利子負債/発行株数,949|969|933|1002|942|942|989|969
